NUM,Fecha,RIVAL,REB,AST,BLOQ,PTS,Local,Conf,,,,,
1,mar 30/1,@,9,8,1,20,ATL,Este,,,145,1.4,203
2,lun 29/1,@,6,10,1,23,HOU2,Oeste,,,,,
3,sáb 27/1,@,20,12,0,36,GS,Oeste,,,,,
4,jue 25/1,vs,4,12,0,25,CHI2,Este,,,,,
5,dom 21/1,vs,5,5,0,28,POR,Oeste,,,,,
6,vie 19/1,vs,11,5,0,24,BKN,Este,,,,,
7,mié 17/1,vs,8,8,0,25,DAL2,Oeste,,,,,
8,lun 15/1,vs,7,6,0,25,OKC2,Oeste,,,,,
9,jue 11/1,vs,5,9,0,10,PHX2,Oeste,,,,,
10,mar 9/1,vs,5,12,1,22,TOR,Este,,,,,
11,dom 7/1,vs,8,7,0,25,LAC,Oeste,,,,,
12,vie 5/1,vs,5,7,0,32,MEM,Oeste,,,,,
13,mié 3/1,vs,6,9,0,12,MIA,Este,,,,,
14,dom 31/12,@,5,8,1,34,NO2,Oeste,,,,,
15,sáb 30/12,@,3,6,1,26,MIN,Oeste,,,,,
16,jue 28/12,vs,4,11,0,17,CHA,Este,,,,,
17,lun 25/12,vs,9,8,0,16,BOS,Este,,,,,
18,sáb 23/12,@,7,7,2,40,OKC,Oeste,,,,,
19,mié 20/12,@,10,9,2,25,CHI,Este,,,,,
20,lun 18/12,vs,11,11,0,25,NY,Este,,,,,
21,vie 15/12,@,7,14,0,23,SA,Oeste,,,,,
22,mar 12/12,@,8,9,1,33,DAL,Oeste,,,,,
23,sáb 9/12,vs,11,4,0,24,IND,Este,,,,,
24,jue 7/12,vs,5,8,0,30,NO,Oeste,,,,,
25,mar 5/12,vs,8,11,0,31,PHX,Oeste,,,,,
26,sáb 2/12,vs,4,7,1,16,HOU,Oeste,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
