Fecha;RIVAL;REB;AST;BLOQ;PTS;Local;Promedio ;Puntos;Rebotes;Asistencias
mar 30/1;@;9;8;1;20;no ;Local;22.76470588;6.823529412;
lun 29/1;@;6;10;1;23;no;Visita;28.88888889;8.333333333;
sáb 27/1;@;20;12;0;36;no;;;;
jue 25/1;vs;4;12;0;25;si;;;;
dom 21/1;vs;5;5;0;28;si;;;;
vie 19/1;vs;11;5;0;24;si;;;;
mié 17/1;vs;8;8;0;25;si;;;;
lun 15/1;vs;7;6;0;25;si;;;;
jue 11/1;vs;5;9;0;10;si;;;;
mar 9/1;vs;5;12;1;22;si;;;;
dom 7/1;vs;8;7;0;25;si;;;;
vie 5/1;vs;5;7;0;32;si;;;;
mié 3/1;vs;6;9;0;12;si;;;;
dom 31/12;@;5;8;1;34;no ;;;;
sáb 30/12;@;3;6;1;26;no;;;;
jue 28/12;vs;4;11;0;17;si;;;;
lun 25/12;vs;9;8;0;16;si;;;;
sáb 23/12;@;7;7;2;40;no;;;;
mié 20/12;@;10;9;2;25;no;;;;
lun 18/12;vs;11;11;0;25;si;;;;
vie 15/12;@;7;14;0;23;no ;;;;
mar 12/12;@;8;9;1;33;no;;;;
sáb 9/12;vs;11;4;0;24;si;;;;
jue 7/12;vs;5;8;0;30;si;;;;
mar 5/12;vs;8;11;0;31;si;;;;
sáb 2/12;vs;4;7;1;16;si;;;;
