Fecha,RIVAL,REB,AST,BLOQ,PTS,Local
30/1,@,9,8,1,20,no
29/1,@,6,10,1,23,no
27/1,@,20,12,0,36,no
25/1,vs,4,12,0,25,si
21/1,vs,5,5,0,28,si
19/1,vs,11,5,0,24,si
17/1,vs,8,8,0,25,si
15/1,vs,7,6,0,25,si
11/1,vs,5,9,0,10,si
9/1,vs,5,12,1,22,si
7/1,vs,8,7,0,25,si
5/1,vs,5,7,0,32,si
3/1,vs,6,9,0,12,si
31/12,@,5,8,1,34,no 
30/12,@,3,6,1,26,no
28/12,vs,4,11,0,17,si
25/12,vs,9,8,0,16,si
23/12,@,7,7,2,40,no
20/12,@,10,9,2,25,no
18/12,vs,11,11,0,25,si
15/12,@,7,14,0,23,no
12/12,@,8,9,1,33,no
9/12,vs,11,4,0,24,si
7/12,vs,5,8,0,30,si
5/12,vs,8,11,0,31,si
2/12,vs,4,7,1,16,si
